rho,betak1,wbetak1,Lk1,wLk1,gammak1,wgammak1,betak2,wbetak2,Lk2,wLk2,gammak2,wgammak2,etai1,wetai1,Li1,wLi1,gammai1,wgammai1,etai2,wetai2,Li2,wLi2,gammai2,wgammai2,etai3,wetai3,Li3,wLi3,gammai3,wgammai3,etai4,wetai4,Li4,wLi4,gammai4,wgammai4,etai5,wetai5,Li5,wLi5,gammai5,wgammai5,etai6,wetai6,Li6,wLi6,gammai6,wgammai6,etai7,wetai7,Li7,wLi7,gammai7,wgammai7,etai8,wetai8,Li8,wLi8,gammai8,wgammai8,etai9,wetai9,Li9,wLi9,gammai9,wgammai9,etai10,wetai10,Li10,wLi10,gammai10,wgammai10,beta,wbeta,eta,weta,L,wL,gamma,wgamma
2.000000e-01,0.000000e+00,0.000000e+00,4.492236e-01,3.698468e-04,8.904394e-01,7.351002e-04,0.000000e+00,0.000000e+00,1.968145e+00,2.183590e-03,8.129716e-01,9.047098e-04,1.309523e-01,2.121882e-04,1.474832e-01,1.778652e-04,8.879031e-01,3.803194e-04,1.314230e-01,9.592216e-05,1.479502e-01,1.108588e-04,8.882959e-01,5.178971e-04,1.308170e-01,2.717487e-04,1.474793e-01,4.638240e-04,8.870906e-01,1.020921e-03,2.278951e-01,6.281425e-04,2.803570e-01,1.108061e-03,8.129672e-01,1.078499e-03,2.309498e-01,4.441072e-04,2.839876e-01,8.483473e-04,8.133063e-01,1.091206e-03,2.303719e-01,3.281132e-04,2.844995e-01,5.591986e-04,8.097907e-01,1.409279e-03,2.296123e-01,2.122511e-04,2.826323e-01,3.201779e-04,8.124108e-01,1.804901e-04,2.268936e-01,4.713432e-04,2.786322e-01,6.628704e-04,8.143262e-01,2.911053e-04,2.303578e-01,5.631594e-04,2.838987e-01,6.973983e-04,8.114095e-01,1.798456e-04,2.282509e-01,5.937434e-04,2.804490e-01,1.208016e-03,8.140149e-01,1.374973e-03,0.000000e+00,0.000000e+00,1.997524e-01,1.512934e-04,2.417369e+00,2.005122e-03,8.273591e-01,6.872566e-04
4.000000e-01,0.000000e+00,0.000000e+00,1.036587e+00,5.061118e-04,7.717678e-01,3.763178e-04,0.000000e+00,0.000000e+00,5.020963e+00,2.592428e-03,6.373319e-01,3.280897e-04,2.650703e-01,2.240653e-04,3.400967e-01,3.584339e-04,7.794030e-01,3.959331e-04,2.664251e-01,3.464283e-04,3.427204e-01,8.023062e-04,7.774362e-01,1.113798e-03,2.632024e-01,8.023235e-05,3.376546e-01,2.181945e-04,7.795074e-01,4.127534e-04,4.557504e-01,2.824549e-04,7.118306e-01,8.217781e-05,6.402520e-01,4.417317e-04,4.600252e-01,5.527775e-04,7.231153e-01,1.019760e-03,6.361798e-01,4.955483e-04,4.583377e-01,4.406907e-04,7.188371e-01,5.651830e-04,6.376169e-01,7.112567e-04,4.566602e-01,9.486288e-04,7.146886e-01,2.380060e-03,6.390284e-01,8.987508e-04,4.605219e-01,5.255110e-04,7.285886e-01,1.010924e-03,6.320888e-01,7.404538e-04,4.601843e-01,4.820892e-04,7.194608e-01,1.055425e-03,6.396331e-01,2.682823e-04,4.617395e-01,5.189875e-04,7.205571e-01,1.814885e-03,6.408690e-01,1.086983e-03,0.000000e+00,0.000000e+00,4.007917e-01,2.025300e-04,6.057550e+00,2.600729e-03,6.603359e-01,2.828546e-04
6.000000e-01,0.000000e+00,0.000000e+00,1.792805e+00,3.488910e-03,6.694018e-01,1.309346e-03,0.000000e+00,0.000000e+00,1.020842e+01,8.884059e-03,4.702085e-01,4.101362e-04,3.969793e-01,2.044701e-04,5.917070e-01,9.068179e-04,6.709346e-01,8.655106e-04,3.959049e-01,3.924828e-04,5.858340e-01,1.457333e-03,6.758647e-01,1.240202e-03,3.983724e-01,4.689726e-04,5.905147e-01,1.328416e-03,6.746605e-01,8.386637e-04,6.960204e-01,2.957289e-04,1.478055e+00,1.572257e-03,4.709114e-01,3.538752e-04,6.949462e-01,7.095018e-04,1.471268e+00,2.748708e-03,4.723696e-01,6.648967e-04,6.902763e-01,1.099228e-03,1.456448e+00,3.511738e-03,4.739684e-01,4.645742e-04,6.911871e-01,5.155172e-04,1.454513e+00,2.333280e-03,4.752210e-01,5.659358e-04,6.885490e-01,1.242745e-03,1.447860e+00,6.675540e-03,4.757092e-01,1.352955e-03,6.932814e-01,9.252283e-04,1.466198e+00,1.885998e-03,4.728434e-01,1.971244e-04,6.919177e-01,8.677054e-04,1.458826e+00,3.561356e-03,4.743327e-01,6.608599e-04,0.000000e+00,0.000000e+00,6.037435e-01,6.413204e-05,1.200122e+01,7.786239e-03,4.999540e-01,3.252338e-04
8.000000e-01,0.000000e+00,0.000000e+00,2.809952e+00,5.720158e-03,5.694600e-01,1.158747e-03,7.925697e-03,1.314857e-04,2.156407e+01,2.270022e-02,2.944459e-01,3.342524e-04,5.325102e-01,9.373405e-04,9.303336e-01,2.757656e-03,5.724343e-01,6.971048e-04,5.316119e-01,8.188063e-04,9.325324e-01,2.322820e-03,5.701222e-01,1.056914e-03,5.280593e-01,4.793035e-04,9.211047e-01,1.164355e-03,5.732974e-01,3.905765e-04,9.099859e-01,5.290114e-05,3.101031e+00,2.528713e-03,2.934508e-01,2.429589e-04,9.071034e-01,1.221808e-03,3.078548e+00,9.975440e-03,2.946973e-01,5.990309e-04,9.082290e-01,8.967006e-04,3.064898e+00,4.374648e-03,2.963380e-01,2.123136e-04,9.047779e-01,6.330622e-04,3.070906e+00,4.063326e-03,2.946351e-01,2.076679e-04,9.100894e-01,3.517196e-04,3.103481e+00,2.790212e-03,2.932538e-01,2.998257e-04,9.103225e-01,4.456925e-04,3.087553e+00,1.833053e-03,2.948384e-01,2.148354e-04,9.080917e-01,6.470286e-04,3.083633e+00,5.906157e-03,2.945047e-01,3.950212e-04,6.340558e-03,1.051886e-04,7.950781e-01,2.828161e-04,2.437402e+01,2.126927e-02,3.261433e-01,2.985111e-04
1.000000e+00,1.368902e-04,1.392548e-05,4.276225e+00,1.442214e-02,4.677634e-01,1.584187e-03,1.310200e-01,6.010980e-04,3.594439e+01,1.184907e-02,1.934068e-01,1.916853e-04,6.649483e-01,1.128386e-03,1.423540e+00,4.225788e-03,4.671528e-01,6.689742e-04,6.631299e-01,7.743464e-04,1.412193e+00,5.545343e-03,4.696975e-01,1.358752e-03,6.626100e-01,1.059453e-03,1.421600e+00,3.936487e-03,4.661389e-01,6.114443e-04,9.961901e-01,2.169336e-04,5.154670e+00,3.702564e-03,1.932615e-01,1.078724e-04,9.946147e-01,8.701556e-05,5.132027e+00,1.752564e-03,1.938060e-01,7.636055e-05,9.952274e-01,1.089172e-04,5.132605e+00,2.464480e-03,1.939039e-01,8.491777e-05,9.955233e-01,7.056998e-05,5.144700e+00,2.212821e-03,1.935056e-01,9.221230e-05,9.950972e-01,1.806558e-04,5.127060e+00,1.383817e-03,1.940875e-01,4.052988e-05,9.953562e-01,1.132352e-04,5.137012e+00,3.241066e-03,1.937633e-01,1.073975e-04,9.953977e-01,7.315707e-05,5.135203e+00,2.410493e-03,1.938390e-01,8.994262e-05,1.048434e-01,4.818950e-04,8.958095e-01,2.502667e-04,4.022061e+01,1.763772e-02,2.225637e-01,2.109260e-04
1.200000e+00,3.925308e-03,7.056773e-05,6.682692e+00,1.021080e-02,3.577473e-01,5.677161e-04,2.709499e-01,8.084387e-04,3.924758e+01,1.594517e-02,1.783290e-01,2.697189e-04,7.939476e-01,4.409480e-04,2.196200e+00,5.006172e-03,3.615438e-01,6.421478e-04,7.966421e-01,2.629570e-04,2.199802e+00,1.832767e-03,3.621493e-01,3.592584e-04,7.951922e-01,6.400690e-04,2.195304e+00,3.457698e-03,3.622353e-01,3.170241e-04,9.996151e-01,2.363425e-05,5.613991e+00,2.431248e-03,1.780586e-01,7.673550e-05,9.996879e-01,2.041554e-05,5.621091e+00,1.763729e-03,1.778463e-01,5.450793e-05,9.997337e-01,1.355917e-05,5.617483e+00,2.380511e-03,1.779690e-01,7.462812e-05,9.996658e-01,1.190331e-05,5.623338e+00,2.445816e-03,1.777717e-01,7.517509e-05,9.996628e-01,1.895784e-05,5.618249e+00,2.203332e-03,1.779320e-01,6.849090e-05,9.997672e-01,1.766118e-05,5.625633e+00,1.701527e-03,1.777167e-01,5.060133e-05,9.995947e-01,4.557298e-05,5.619183e+00,3.432777e-03,1.778911e-01,1.007558e-04,2.175450e-01,6.419706e-04,9.383509e-01,6.003831e-05,4.593027e+01,2.122111e-02,2.044311e-01,2.528867e-04
1.400000e+00,2.155546e-02,2.928163e-04,9.711113e+00,1.849308e-02,2.821417e-01,6.124103e-04,3.798353e-01,3.531934e-04,4.007771e+01,2.988031e-03,1.733096e-01,1.075708e-04,8.948258e-01,7.735534e-04,3.133745e+00,6.790360e-03,2.855654e-01,4.127235e-04,8.938248e-01,5.172910e-04,3.121904e+00,5.675534e-03,2.863250e-01,4.271731e-04,8.960959e-01,3.981446e-04,3.136857e+00,5.276596e-03,2.856818e-01,3.884227e-04,9.999487e-01,7.061589e-06,5.769703e+00,8.275642e-04,1.733103e-01,2.396379e-05,9.999586e-01,5.224571e-06,5.770724e+00,6.672862e-04,1.732814e-01,2.029166e-05,9.999666e-01,2.909505e-06,5.770721e+00,7.772553e-04,1.732829e-01,2.303394e-05,9.999701e-01,4.560965e-06,5.770821e+00,7.798381e-04,1.732805e-01,2.296376e-05,9.999739e-01,1.485935e-06,5.769666e+00,6.256986e-04,1.733158e-01,1.863796e-05,9.999687e-01,1.492732e-06,5.772763e+00,5.150880e-04,1.732219e-01,1.538582e-05,9.999600e-01,4.407744e-06,5.771917e+00,4.017549e-04,1.732458e-01,1.153272e-05,3.081793e-01,3.301955e-04,9.684493e-01,1.622556e-04,4.978882e+01,1.998504e-02,1.945329e-01,1.655117e-04
1.600000e+00,6.471009e-02,5.348274e-04,1.293178e+01,2.094459e-02,2.314583e-01,4.940339e-04,4.621349e-01,2.714978e-04,4.010739e+01,5.522261e-03,1.716561e-01,9.387776e-05,9.568193e-01,2.619123e-04,4.056917e+00,7.186496e-03,2.358640e-01,3.654606e-04,9.566950e-01,2.438397e-04,4.057907e+00,5.941548e-03,2.357710e-01,3.010718e-04,9.586877e-01,3.471101e-04,4.065072e+00,5.077291e-03,2.358417e-01,2.208655e-04,9.999880e-01,2.259620e-06,5.837675e+00,3.643128e-04,1.712990e-01,1.041144e-05,9.999958e-01,7.080370e-07,5.840193e+00,1.401512e-04,1.712265e-01,4.067889e-06,9.999920e-01,1.898194e-06,5.837474e+00,1.850832e-04,1.713056e-01,5.260134e-06,9.999915e-01,2.315727e-06,5.837382e+00,5.642813e-04,1.713082e-01,1.618059e-05,9.999919e-01,2.197234e-06,5.835219e+00,3.135037e-04,1.713718e-01,9.137547e-06,9.999869e-01,1.599899e-06,5.835704e+00,4.804210e-04,1.713567e-01,1.393014e-05,9.999948e-01,9.527385e-07,5.835624e+00,3.372736e-04,1.713604e-01,9.976419e-06,3.826499e-01,2.329266e-04,9.872143e-01,8.425905e-05,5.303917e+01,1.711218e-02,1.862330e-01,1.179600e-04
1.800000e+00,1.219126e-01,2.166976e-04,1.522441e+01,9.908199e-03,2.076374e-01,1.816792e-04,5.283776e-01,3.190622e-04,3.991309e+01,3.490006e-03,1.701537e-01,1.120469e-04,9.831206e-01,5.136168e-05,4.672052e+00,2.118455e-03,2.104269e-01,9.794234e-05,9.829615e-01,1.006833e-04,4.666806e+00,2.593674e-03,2.106298e-01,1.167062e-04,9.829804e-01,3.937324e-05,4.669822e+00,2.753947e-03,2.104980e-01,1.222362e-04,9.999955e-01,1.091451e-06,5.878300e+00,1.494713e-04,1.701165e-01,4.239808e-06,9.999959e-01,8.537125e-07,5.876297e+00,4.195354e-04,1.701745e-01,1.208830e-05,9.999981e-01,4.676320e-07,5.877852e+00,1.475791e-04,1.701299e-01,4.231108e-06,9.999989e-01,3.607050e-07,5.876439e+00,3.332118e-04,1.701709e-01,9.684328e-06,9.999997e-01,8.660996e-08,5.872763e+00,5.713954e-04,1.702776e-01,1.658032e-05,9.999999e-01,3.668516e-08,5.874345e+00,1.348146e-04,1.702317e-01,3.905797e-06,9.999956e-01,7.530025e-07,5.872819e+00,3.023551e-04,1.702752e-01,8.738385e-06,4.470846e-01,2.760837e-04,9.949046e-01,1.106220e-05,5.513749e+01,7.781540e-03,1.805033e-01,1.141861e-04
2.000000e+00,1.823735e-01,3.716464e-04,1.681663e+01,6.990427e-03,1.944819e-01,1.576467e-04,5.782807e-01,3.596600e-04,3.963838e+01,5.610063e-03,1.702271e-01,1.624809e-04,9.933235e-01,1.005051e-04,5.055490e+00,1.758605e-03,1.964846e-01,6.223529e-05,9.936194e-01,1.081757e-04,5.055871e+00,2.185144e-03,1.965285e-01,7.063608e-05,9.935869e-01,6.960562e-05,5.053212e+00,1.781985e-03,1.966254e-01,6.900007e-05,9.999991e-01,2.694069e-07,5.902136e+00,2.317637e-04,1.694300e-01,6.685613e-06,1.000000e+00,0.000000e+00,5.901740e+00,1.658038e-04,1.694416e-01,4.760597e-06,9.999995e-01,2.997589e-07,5.900659e+00,3.285017e-04,1.694725e-01,9.419359e-06,9.999999e-01,3.039376e-08,5.900149e+00,2.585987e-04,1.694873e-01,7.430862e-06,1.000000e+00,0.000000e+00,5.895516e+00,2.219416e-04,1.696204e-01,6.385850e-06,9.999999e-01,4.344400e-08,5.895053e+00,3.312988e-04,1.696337e-01,9.538362e-06,9.999999e-01,5.200486e-08,5.895177e+00,1.744676e-04,1.696302e-01,5.020896e-06,4.990993e-01,3.147737e-04,9.980528e-01,1.333422e-05,5.645500e+01,5.339920e-03,1.774515e-01,1.247631e-04
2.200000e+00,2.407834e-01,1.585436e-04,1.788426e+01,8.351990e-03,1.867886e-01,1.217947e-04,6.195587e-01,6.413263e-04,3.937230e+01,3.920529e-03,1.700625e-01,2.762579e-04,9.971949e-01,6.367750e-05,5.284051e+00,2.167974e-03,1.887186e-01,7.295449e-05,9.972205e-01,7.324038e-05,5.285571e+00,1.362597e-03,1.886686e-01,3.698191e-05,9.971175e-01,4.283166e-05,5.283272e+00,2.045709e-03,1.887317e-01,6.709481e-05,1.000000e+00,0.000000e+00,5.917257e+00,2.789142e-04,1.689972e-01,7.964831e-06,1.000000e+00,0.000000e+00,5.917163e+00,3.621009e-04,1.689999e-01,1.034219e-05,1.000000e+00,0.000000e+00,5.917978e+00,2.651912e-04,1.689766e-01,7.570650e-06,9.999997e-01,1.304419e-07,5.917495e+00,2.508428e-04,1.689904e-01,7.154577e-06,1.000000e+00,0.000000e+00,5.911969e+00,4.300615e-04,1.691484e-01,1.230348e-05,1.000000e+00,0.000000e+00,5.911361e+00,2.241440e-04,1.691658e-01,6.415437e-06,9.999985e-01,5.769524e-07,5.910442e+00,2.989256e-04,1.691918e-01,8.623065e-06,5.438036e-01,5.435000e-04,9.991531e-01,1.453836e-05,5.725656e+01,5.740502e-03,1.752872e-01,2.209744e-04
2.400000e+00,2.938080e-01,4.541584e-04,1.863551e+01,6.982206e-03,1.818969e-01,1.602595e-04,6.559251e-01,2.792995e-04,3.917213e+01,5.968206e-03,1.686468e-01,1.544606e-04,9.986930e-01,4.546325e-05,5.436294e+00,1.417751e-03,1.837087e-01,4.376167e-05,9.987398e-01,2.527979e-05,5.441206e+00,8.250767e-04,1.835513e-01,2.549383e-05,9.987792e-01,1.918024e-05,5.439535e+00,1.335029e-03,1.836151e-01,4.337923e-05,1.000000e+00,0.000000e+00,5.929932e+00,1.065393e-04,1.686360e-01,3.029721e-06,1.000000e+00,0.000000e+00,5.929186e+00,1.985541e-04,1.686572e-01,5.648331e-06,1.000000e+00,0.000000e+00,5.929832e+00,1.709496e-04,1.686389e-01,4.862078e-06,1.000000e+00,2.684790e-08,5.929857e+00,2.023067e-04,1.686381e-01,5.755116e-06,1.000000e+00,0.000000e+00,5.923649e+00,1.227575e-04,1.688149e-01,3.498462e-06,1.000000e+00,0.000000e+00,5.924892e+00,9.338461e-05,1.687795e-01,2.660517e-06,1.000000e+00,0.000000e+00,5.923261e+00,3.409150e-04,1.688259e-01,9.717332e-06,5.835017e-01,2.948900e-04,9.996212e-01,7.138209e-06,5.780764e+01,3.509624e-03,1.729178e-01,1.304961e-04
2.600000e+00,3.396520e-01,3.035150e-04,1.916677e+01,6.058671e-03,1.791553e-01,1.365292e-04,6.845140e-01,3.111034e-04,3.899203e+01,4.274044e-03,1.682934e-01,1.552669e-04,9.993954e-01,1.853887e-05,5.538090e+00,1.837453e-03,1.804590e-01,5.784528e-05,9.993282e-01,2.103174e-05,5.533398e+00,8.309476e-04,1.805995e-01,2.617545e-05,9.994054e-01,2.290638e-05,5.536509e+00,8.164860e-04,1.805119e-01,2.455161e-05,1.000000e+00,0.000000e+00,5.938432e+00,1.292117e-04,1.683946e-01,3.664073e-06,1.000000e+00,0.000000e+00,5.938284e+00,1.464203e-04,1.683988e-01,4.152025e-06,1.000000e+00,0.000000e+00,5.938230e+00,7.922196e-05,1.684003e-01,2.246475e-06,1.000000e+00,0.000000e+00,5.938816e+00,9.801559e-05,1.683837e-01,2.779231e-06,1.000000e+00,0.000000e+00,5.932948e+00,8.713390e-05,1.685503e-01,2.475227e-06,1.000000e+00,0.000000e+00,5.932721e+00,2.664699e-04,1.685567e-01,7.570833e-06,1.000000e+00,0.000000e+00,5.931378e+00,2.499762e-04,1.685949e-01,7.106537e-06,6.155416e-01,2.788172e-04,9.998129e-01,5.320963e-06,5.815881e+01,2.783841e-03,1.718729e-01,1.294152e-04
2.800000e+00,3.789747e-01,3.949640e-04,1.957199e+01,8.786944e-03,1.776913e-01,1.702583e-04,7.071096e-01,5.455450e-05,3.883613e+01,7.119542e-03,1.689343e-01,6.031684e-05,9.996780e-01,6.592444e-06,5.604844e+00,8.723480e-04,1.783597e-01,2.783561e-05,9.996187e-01,1.255907e-05,5.603148e+00,9.257181e-04,1.784032e-01,2.842999e-05,9.996723e-01,2.051382e-05,5.605311e+00,7.713427e-04,1.783439e-01,2.599359e-05,1.000000e+00,0.000000e+00,5.944613e+00,1.457416e-04,1.682195e-01,4.124321e-06,9.999997e-01,1.105089e-07,5.944464e+00,1.153349e-04,1.682237e-01,3.278330e-06,1.000000e+00,0.000000e+00,5.944382e+00,1.627242e-04,1.682261e-01,4.605680e-06,1.000000e+00,0.000000e+00,5.944613e+00,1.023449e-04,1.682195e-01,2.896270e-06,1.000000e+00,0.000000e+00,5.938180e+00,2.388876e-04,1.684018e-01,6.774459e-06,1.000000e+00,0.000000e+00,5.939397e+00,1.202476e-04,1.683673e-01,3.408833e-06,1.000000e+00,0.000000e+00,5.939167e+00,2.115991e-04,1.683738e-01,5.999476e-06,6.414826e-01,8.708978e-05,9.998969e-01,1.944676e-06,5.840812e+01,2.013320e-03,1.718680e-01,4.419256e-05
3.000000e+00,4.173930e-01,3.364701e-04,1.993998e+01,7.777065e-03,1.753090e-01,1.279267e-04,7.281512e-01,8.404764e-05,3.867357e+01,7.018289e-03,1.687039e-01,7.311829e-05,9.997932e-01,1.294545e-05,5.660572e+00,3.844888e-04,1.766241e-01,1.160325e-05,9.997926e-01,1.460617e-05,5.659396e+00,1.324846e-03,1.766609e-01,3.939072e-05,9.998295e-01,7.930884e-06,5.659431e+00,5.007681e-04,1.766661e-01,1.675824e-05,1.000000e+00,0.000000e+00,5.949635e+00,8.099453e-05,1.680775e-01,2.288170e-06,1.000000e+00,0.000000e+00,5.950860e+00,8.592070e-05,1.680430e-01,2.426443e-06,1.000000e+00,0.000000e+00,5.950357e+00,2.025461e-04,1.680571e-01,5.720274e-06,1.000000e+00,0.000000e+00,5.949752e+00,6.462951e-05,1.680742e-01,1.825670e-06,1.000000e+00,0.000000e+00,5.944791e+00,1.324036e-04,1.682145e-01,3.746630e-06,1.000000e+00,0.000000e+00,5.944317e+00,1.213776e-04,1.682279e-01,3.434781e-06,1.000000e+00,0.000000e+00,5.944432e+00,8.447102e-05,1.682246e-01,2.390563e-06,6.659995e-01,1.282114e-04,9.999415e-01,2.028231e-06,5.861354e+01,1.987854e-03,1.709505e-01,6.991307e-05
