rho,betak1,wbetak1,Lk1,wLk1,gammak1,wgammak1,etai1,wetai1,Li1,wLi1,gammai1,wgammai1,etai2,wetai2,Li2,wLi2,gammai2,wgammai2,etai3,wetai3,Li3,wLi3,gammai3,wgammai3,etai4,wetai4,Li4,wLi4,gammai4,wgammai4,etai5,wetai5,Li5,wLi5,gammai5,wgammai5,etai6,wetai6,Li6,wLi6,gammai6,wgammai6,etai7,wetai7,Li7,wLi7,gammai7,wgammai7,etai8,wetai8,Li8,wLi8,gammai8,wgammai8,etai9,wetai9,Li9,wLi9,gammai9,wgammai9,etai10,wetai10,Li10,wLi10,gammai10,wgammai10,beta,wbeta,eta,weta,L,wL,gamma,wgamma
2.000000e-01,0.000000e+00,0.000000e+00,4.469195e+00,7.510321e-03,1.118843e+00,1.875071e-03,4.724733e-01,7.607777e-04,7.502289e-01,1.857840e-03,6.298061e-01,6.414446e-04,4.720366e-01,1.473095e-03,7.449895e-01,3.171683e-03,6.336870e-01,7.359063e-04,4.723064e-01,8.169716e-04,7.478670e-01,2.216491e-03,6.315993e-01,9.861893e-04,4.676442e-01,8.410716e-04,7.374633e-01,2.503181e-03,6.342076e-01,1.046634e-03,4.721695e-01,4.747691e-04,7.448003e-01,1.364472e-03,6.339821e-01,7.467828e-04,1.317376e-01,2.407570e-04,1.476145e-01,3.084269e-04,3.569822e+00,1.330446e-03,1.322217e-01,3.132278e-04,1.485377e-01,4.581163e-04,3.560813e+00,2.913025e-03,1.324451e-01,2.930356e-04,1.489595e-01,3.655504e-04,3.556620e+00,3.299304e-03,1.327861e-01,3.101590e-04,1.492519e-01,3.347747e-04,3.558695e+00,8.730132e-04,1.326105e-01,3.386239e-04,1.494828e-01,4.395147e-04,3.548620e+00,2.168346e-03,0.000000e+00,0.000000e+00,2.001534e-01,1.626378e-04,4.469195e+00,7.510321e-03,1.118843e+00,1.875071e-03
4.000000e-01,0.000000e+00,0.000000e+00,1.234444e+01,8.596582e-03,8.100904e-01,5.661561e-04,8.187652e-01,4.816499e-04,2.065588e+00,4.277684e-03,3.964129e-01,6.038124e-04,8.196067e-01,2.644429e-04,2.075017e+00,1.973383e-03,3.949961e-01,3.897068e-04,8.170069e-01,9.697609e-04,2.065800e+00,6.240797e-03,3.955458e-01,7.858461e-04,8.211246e-01,1.110224e-03,2.079515e+00,8.134240e-03,3.949569e-01,1.024562e-03,8.219363e-01,3.008502e-04,2.096273e+00,5.332468e-03,3.921500e-01,9.433522e-04,2.949569e-01,7.348668e-04,3.892984e-01,1.369356e-03,3.030916e+00,3.559466e-03,2.973689e-01,3.558628e-04,3.926691e-01,5.282506e-04,3.029225e+00,1.176062e-03,2.992160e-01,1.677495e-04,3.948200e-01,8.938654e-04,3.031701e+00,5.426753e-03,2.960100e-01,3.314739e-04,3.887683e-01,4.262526e-04,3.045616e+00,1.477343e-04,3.000964e-01,1.133230e-03,3.966945e-01,2.140767e-03,3.026589e+00,4.918907e-03,0.000000e+00,0.000000e+00,4.019613e-01,2.588847e-04,1.234444e+01,8.596582e-03,8.100904e-01,5.661561e-04
6.000000e-01,0.000000e+00,0.000000e+00,2.182753e+01,2.794163e-02,6.872319e-01,8.797621e-04,9.620222e-01,3.498627e-04,3.481929e+00,4.750521e-03,2.763012e-01,3.618223e-04,9.659763e-01,9.655353e-05,3.540005e+00,3.069054e-03,2.728786e-01,2.122982e-04,9.633776e-01,3.408464e-04,3.514246e+00,5.945286e-03,2.741496e-01,3.705586e-04,9.645305e-01,2.019829e-04,3.487420e+00,5.973501e-03,2.765912e-01,4.235556e-04,9.627988e-01,4.442028e-04,3.518781e+00,7.392863e-03,2.736397e-01,4.621099e-04,5.156488e-01,2.760701e-04,8.649739e-01,1.330378e-03,2.384696e+00,3.562519e-03,5.103435e-01,2.449437e-04,8.542288e-01,5.089227e-04,2.389760e+00,2.416447e-03,5.125475e-01,6.281205e-04,8.603702e-01,2.373832e-03,2.383158e+00,3.825285e-03,5.076574e-01,4.909074e-04,8.463374e-01,8.654204e-04,2.399358e+00,2.894180e-03,5.132124e-01,9.477994e-04,8.592391e-01,2.805467e-03,2.389419e+00,3.777648e-03,0.000000e+00,0.000000e+00,6.022538e-01,2.817074e-04,2.182753e+01,2.794163e-02,6.872319e-01,8.797621e-04
8.000000e-01,3.516679e-04,1.800021e-05,3.167033e+01,2.433625e-02,6.312924e-01,4.792072e-04,9.945064e-01,5.730872e-05,4.523062e+00,4.383640e-04,2.198746e-01,2.471184e-05,9.947737e-01,1.123627e-04,4.533969e+00,8.934543e-03,2.194238e-01,4.154256e-04,9.957740e-01,5.267475e-05,4.557426e+00,3.764351e-03,2.184982e-01,1.754894e-04,9.945252e-01,1.060626e-04,4.541560e+00,4.351727e-03,2.189878e-01,2.098426e-04,9.946806e-01,1.260943e-04,4.546641e+00,3.372771e-03,2.187758e-01,1.811393e-04,7.539775e-01,4.695202e-04,1.798748e+00,1.915629e-03,1.676694e+00,1.059875e-03,7.536335e-01,5.166884e-04,1.801369e+00,1.719001e-03,1.673487e+00,1.198478e-03,7.504424e-01,2.991537e-04,1.791852e+00,1.939105e-03,1.675264e+00,1.226984e-03,7.519476e-01,3.928063e-04,1.794429e+00,7.732524e-04,1.676198e+00,1.587262e-03,7.489699e-01,7.185770e-04,1.781278e+00,4.669217e-03,1.682047e+00,2.900695e-03,3.516679e-04,1.800021e-05,8.004058e-01,1.031480e-04,3.167033e+01,2.433625e-02,6.312924e-01,4.792072e-04
1.000000e+00,3.609226e-02,4.609947e-04,4.650088e+01,6.303826e-02,5.182501e-01,9.465620e-04,9.995881e-01,3.135954e-05,5.409246e+00,3.512414e-03,1.847943e-01,1.207603e-04,9.995871e-01,2.681128e-05,5.412031e+00,3.925619e-03,1.846994e-01,1.303851e-04,9.996752e-01,3.290156e-05,5.412209e+00,2.430559e-03,1.847082e-01,8.016314e-05,9.997057e-01,4.361342e-05,5.417104e+00,4.843767e-03,1.845495e-01,1.616291e-04,9.997732e-01,1.357848e-05,5.435632e+00,4.786285e-03,1.839328e-01,1.610143e-04,9.512146e-01,4.914650e-04,3.887391e+00,8.490063e-03,9.788576e-01,1.753153e-03,9.516256e-01,6.929060e-04,3.879363e+00,1.063875e-02,9.813490e-01,2.047592e-03,9.519861e-01,4.468932e-04,3.879511e+00,7.398261e-03,9.816196e-01,1.516139e-03,9.518205e-01,4.612259e-04,3.890293e+00,1.070408e-02,9.788097e-01,2.300199e-03,9.516069e-01,4.433431e-04,3.878105e+00,1.077436e-02,9.816674e-01,2.304132e-03,3.609226e-02,4.609947e-04,9.612538e-01,3.863880e-04,4.650088e+01,6.303826e-02,5.182501e-01,9.465620e-04
1.200000e+00,1.664909e-01,6.858417e-04,5.533270e+01,2.470157e-02,4.519132e-01,5.576708e-04,9.999926e-01,1.403194e-06,5.811875e+00,4.688020e-04,1.720603e-01,1.375042e-05,9.999968e-01,8.034694e-07,5.815576e+00,1.601295e-03,1.719518e-01,4.744979e-05,9.999971e-01,7.428722e-07,5.815870e+00,1.504909e-03,1.719431e-01,4.444562e-05,9.999882e-01,3.738966e-06,5.809602e+00,1.210118e-03,1.721270e-01,3.563853e-05,9.999991e-01,2.736240e-07,5.808923e+00,6.894606e-04,1.721489e-01,2.039523e-05,9.969072e-01,1.403850e-04,5.251402e+00,3.857449e-03,7.593536e-01,4.714005e-04,9.969764e-01,7.812427e-05,5.253898e+00,3.731828e-03,7.590460e-01,5.067434e-04,9.964163e-01,1.547490e-04,5.249350e+00,4.751565e-03,7.592809e-01,5.983079e-04,9.972922e-01,2.453613e-05,5.255176e+00,3.914254e-03,7.591028e-01,5.469332e-04,9.966662e-01,8.745685e-05,5.261032e+00,3.948348e-03,7.577814e-01,5.093935e-04,1.664909e-01,6.858417e-04,9.974803e-01,7.510610e-05,5.533270e+01,2.470157e-02,4.519132e-01,5.576708e-04
1.400000e+00,2.871807e-01,7.468390e-04,5.757718e+01,9.084036e-03,4.333103e-01,5.215082e-04,1.000000e+00,0.000000e+00,5.903546e+00,4.386418e-04,1.693897e-01,1.258587e-05,1.000000e+00,0.000000e+00,5.903269e+00,5.039636e-04,1.693977e-01,1.446280e-05,1.000000e+00,0.000000e+00,5.904035e+00,3.928318e-04,1.693757e-01,1.127061e-05,1.000000e+00,0.000000e+00,5.903186e+00,4.980349e-04,1.694001e-01,1.429244e-05,1.000000e+00,0.000000e+00,5.903254e+00,4.884246e-04,1.693981e-01,1.401381e-05,9.997049e-01,2.283879e-05,5.612441e+00,7.263019e-04,7.124923e-01,9.467929e-05,9.997023e-01,6.405738e-06,5.613667e+00,1.445550e-03,7.123357e-01,1.832207e-04,9.996383e-01,1.477502e-05,5.609876e+00,1.501800e-03,7.127715e-01,1.818523e-04,9.996368e-01,3.275838e-05,5.611774e+00,2.462108e-03,7.125312e-01,2.903330e-04,9.997209e-01,1.439203e-05,5.612135e+00,2.227034e-03,7.125449e-01,2.785749e-04,2.871807e-01,7.468390e-04,9.997445e-01,5.326652e-06,5.757718e+01,9.084036e-03,4.333103e-01,5.215082e-04
1.600000e+00,3.733795e-01,4.555302e-04,5.836359e+01,2.778968e-03,4.294601e-01,3.266650e-04,1.000000e+00,0.000000e+00,5.934413e+00,4.336030e-04,1.685087e-01,1.231006e-05,9.999996e-01,2.326679e-07,5.935757e+00,2.400450e-04,1.684705e-01,6.791098e-06,1.000000e+00,0.000000e+00,5.934735e+00,1.912575e-04,1.684995e-01,5.429714e-06,1.000000e+00,0.000000e+00,5.935474e+00,1.226447e-04,1.684785e-01,3.481091e-06,1.000000e+00,0.000000e+00,5.934944e+00,3.251522e-04,1.684936e-01,9.231968e-06,9.999321e-01,5.915674e-06,5.738122e+00,1.156516e-03,6.970455e-01,1.380448e-04,9.999412e-01,3.037924e-06,5.737677e+00,9.752507e-04,6.971057e-01,1.202331e-04,9.999359e-01,2.990942e-06,5.736630e+00,4.625025e-04,6.972289e-01,5.712140e-05,9.999507e-01,4.567911e-06,5.738883e+00,5.615797e-04,6.969655e-01,6.823808e-05,9.999165e-01,6.908031e-06,5.736954e+00,3.501517e-04,6.971760e-01,4.029064e-05,3.733795e-01,4.555302e-04,9.999482e-01,1.592385e-06,5.836359e+01,2.778968e-03,4.294601e-01,3.266650e-04
1.800000e+00,4.399304e-01,2.632905e-04,5.876522e+01,7.158689e-04,4.288784e-01,2.060225e-04,1.000000e+00,0.000000e+00,5.951031e+00,1.506165e-04,1.680381e-01,4.253010e-06,1.000000e+00,0.000000e+00,5.950771e+00,1.865852e-04,1.680455e-01,5.269529e-06,1.000000e+00,0.000000e+00,5.951745e+00,1.178504e-04,1.680180e-01,3.327017e-06,1.000000e+00,0.000000e+00,5.950388e+00,2.505800e-04,1.680563e-01,7.075955e-06,1.000000e+00,0.000000e+00,5.950623e+00,4.530959e-05,1.680496e-01,1.279582e-06,9.999742e-01,1.813592e-06,5.802212e+00,2.266355e-04,6.893745e-01,2.588513e-05,9.999917e-01,1.375855e-06,5.804084e+00,3.920198e-04,6.891642e-01,4.720849e-05,9.999806e-01,9.579615e-07,5.802315e+00,2.197416e-04,6.893666e-01,2.672878e-05,9.999729e-01,2.608980e-06,5.800130e+00,1.853322e-04,6.896210e-01,2.297501e-05,9.999846e-01,2.118429e-06,5.801924e+00,1.859508e-04,6.894158e-01,2.090533e-05,4.399304e-01,2.632905e-04,9.999846e-01,4.839183e-07,5.876522e+01,7.158689e-04,4.288784e-01,2.060225e-04
2.000000e+00,4.990748e-01,3.139833e-04,5.902019e+01,1.307487e-03,4.243678e-01,2.752133e-04,1.000000e+00,0.000000e+00,5.961583e+00,1.382670e-04,1.677407e-01,3.890399e-06,1.000000e+00,0.000000e+00,5.961375e+00,3.090934e-04,1.677466e-01,8.698403e-06,1.000000e+00,0.000000e+00,5.960553e+00,7.746140e-05,1.677697e-01,2.180283e-06,1.000000e+00,0.000000e+00,5.961284e+00,1.796528e-04,1.677491e-01,5.055214e-06,1.000000e+00,0.000000e+00,5.960972e+00,1.057280e-04,1.677579e-01,2.975459e-06,1.000000e+00,0.000000e+00,5.843479e+00,1.283532e-04,6.845237e-01,1.503683e-05,9.999968e-01,4.231298e-07,5.842524e+00,1.446324e-04,6.846335e-01,1.698186e-05,9.999958e-01,7.279572e-07,5.843556e+00,2.983149e-04,6.845118e-01,3.453310e-05,9.999975e-01,3.512637e-07,5.842541e+00,3.134745e-04,6.846320e-01,3.656714e-05,9.999876e-01,3.169151e-06,5.842318e+00,3.880530e-04,6.846513e-01,4.763266e-05,4.990748e-01,3.139833e-04,9.999964e-01,4.787541e-07,5.902019e+01,1.307487e-03,4.243678e-01,2.752133e-04
2.200000e+00,5.445156e-01,2.450918e-04,5.918671e+01,1.032307e-03,4.232648e-01,2.350031e-04,1.000000e+00,0.000000e+00,5.967754e+00,1.055061e-04,1.675672e-01,2.962359e-06,1.000000e+00,0.000000e+00,5.967424e+00,8.198679e-05,1.675765e-01,2.302374e-06,1.000000e+00,0.000000e+00,5.967399e+00,1.506931e-04,1.675772e-01,4.232180e-06,1.000000e+00,0.000000e+00,5.967301e+00,8.389792e-05,1.675800e-01,2.356082e-06,1.000000e+00,0.000000e+00,5.967466e+00,1.002786e-04,1.675753e-01,2.815421e-06,9.999972e-01,6.442003e-07,5.870092e+00,2.286127e-04,6.814185e-01,2.669534e-05,9.999990e-01,3.366424e-07,5.870729e+00,3.787022e-04,6.813458e-01,4.404481e-05,1.000000e+00,0.000000e+00,5.869291e+00,2.159574e-04,6.815133e-01,2.507493e-05,9.999941e-01,9.980417e-07,5.869761e+00,4.562335e-04,6.814548e-01,5.312546e-05,9.999988e-01,3.380548e-07,5.869495e+00,1.680458e-04,6.814889e-01,1.945363e-05,5.445156e-01,2.450918e-04,9.999983e-01,1.992790e-07,5.918671e+01,1.032307e-03,4.232648e-01,2.350031e-04
2.400000e+00,5.848541e-01,3.218592e-04,5.930922e+01,1.051223e-03,4.199813e-01,3.326406e-04,1.000000e+00,0.000000e+00,5.972115e+00,1.428503e-04,1.674449e-01,4.005362e-06,1.000000e+00,0.000000e+00,5.972133e+00,1.369955e-04,1.674444e-01,3.840852e-06,1.000000e+00,0.000000e+00,5.972216e+00,1.224177e-04,1.674420e-01,3.432433e-06,1.000000e+00,0.000000e+00,5.973173e+00,1.025290e-04,1.674152e-01,2.873709e-06,1.000000e+00,0.000000e+00,5.972859e+00,2.199501e-04,1.674240e-01,6.164513e-06,9.999978e-01,3.515024e-07,5.888977e+00,2.369581e-04,6.792337e-01,2.719628e-05,1.000000e+00,0.000000e+00,5.889896e+00,2.642499e-04,6.791292e-01,3.047625e-05,9.999997e-01,1.764681e-07,5.889579e+00,3.589608e-04,6.791655e-01,4.136648e-05,9.999992e-01,2.529269e-07,5.889258e+00,6.264198e-05,6.792022e-01,7.209382e-06,9.999975e-01,7.922391e-07,5.889014e+00,1.253978e-04,6.792291e-01,1.393828e-05,5.848541e-01,3.218592e-04,9.999991e-01,7.114208e-08,5.930922e+01,1.051223e-03,4.199813e-01,3.326406e-04
2.600000e+00,6.166606e-01,1.981441e-04,5.939251e+01,5.214621e-04,4.195321e-01,2.200484e-04,1.000000e+00,0.000000e+00,5.975977e+00,8.544446e-05,1.673367e-01,2.392540e-06,1.000000e+00,0.000000e+00,5.976076e+00,8.206409e-05,1.673339e-01,2.297936e-06,1.000000e+00,0.000000e+00,5.975503e+00,5.237326e-05,1.673499e-01,1.466770e-06,1.000000e+00,0.000000e+00,5.976223e+00,1.306972e-04,1.673298e-01,3.659452e-06,1.000000e+00,0.000000e+00,5.975739e+00,5.252594e-05,1.673433e-01,1.470876e-06,1.000000e+00,0.000000e+00,5.902276e+00,1.522255e-04,6.777047e-01,1.748041e-05,9.999999e-01,1.841119e-08,5.902196e+00,1.055202e-04,6.777138e-01,1.212697e-05,1.000000e+00,0.000000e+00,5.902744e+00,2.258837e-04,6.776509e-01,2.592794e-05,1.000000e+00,1.215554e-08,5.903215e+00,1.348861e-04,6.775968e-01,1.548299e-05,9.999990e-01,1.772469e-07,5.902562e+00,1.061946e-04,6.776711e-01,1.217264e-05,6.166606e-01,1.981441e-04,9.999998e-01,2.599567e-08,5.939251e+01,5.214621e-04,4.195321e-01,2.200484e-04
2.800000e+00,6.446235e-01,2.677178e-04,5.945924e+01,7.730106e-04,4.183767e-01,3.202770e-04,1.000000e+00,0.000000e+00,5.978119e+00,1.060196e-04,1.672767e-01,2.966383e-06,1.000000e+00,0.000000e+00,5.978653e+00,7.285114e-05,1.672618e-01,2.038082e-06,1.000000e+00,0.000000e+00,5.978302e+00,1.213164e-04,1.672716e-01,3.394681e-06,1.000000e+00,0.000000e+00,5.978284e+00,1.001475e-04,1.672721e-01,2.801819e-06,1.000000e+00,0.000000e+00,5.978459e+00,4.932649e-05,1.672672e-01,1.380093e-06,9.999999e-01,3.915250e-08,5.913527e+00,3.540214e-04,6.764153e-01,4.049952e-05,9.999998e-01,4.590277e-08,5.913525e+00,2.363310e-04,6.764154e-01,2.702430e-05,1.000000e+00,0.000000e+00,5.914179e+00,1.431682e-04,6.763407e-01,1.637272e-05,1.000000e+00,0.000000e+00,5.913602e+00,1.465976e-04,6.764067e-01,1.676855e-05,9.999998e-01,3.315351e-08,5.912587e+00,2.407255e-04,6.765227e-01,2.755257e-05,6.446235e-01,2.677178e-04,9.999999e-01,1.068345e-08,5.945924e+01,7.730106e-04,4.183767e-01,3.202770e-04
3.000000e+00,6.677638e-01,3.294700e-04,5.951158e+01,7.495481e-04,4.187038e-01,4.204687e-04,1.000000e+00,0.000000e+00,5.980752e+00,4.788536e-05,1.672031e-01,1.338726e-06,1.000000e+00,0.000000e+00,5.980368e+00,8.526966e-05,1.672138e-01,2.384054e-06,1.000000e+00,0.000000e+00,5.980220e+00,7.598572e-05,1.672179e-01,2.124639e-06,1.000000e+00,0.000000e+00,5.980620e+00,3.217277e-05,1.672068e-01,8.995012e-07,1.000000e+00,0.000000e+00,5.980336e+00,4.240898e-05,1.672147e-01,1.185751e-06,1.000000e+00,0.000000e+00,5.922046e+00,1.260222e-04,6.754422e-01,1.437206e-05,9.999995e-01,1.578350e-07,5.921151e+00,1.625872e-04,6.755440e-01,1.849355e-05,1.000000e+00,0.000000e+00,5.922189e+00,9.481683e-05,6.754259e-01,1.081353e-05,9.999999e-01,3.131996e-08,5.921862e+00,1.587166e-04,6.754632e-01,1.810656e-05,9.999984e-01,4.932852e-07,5.922032e+00,1.021418e-04,6.754428e-01,1.160008e-05,6.677638e-01,3.294700e-04,9.999997e-01,7.640724e-08,5.951158e+01,7.495481e-04,4.187038e-01,4.204687e-04
